	Unknown	InNeurons	Oligodendrocytes	Endothelial	Microglia	Astrocytes	OPC	ExNeurons
11079	0.0047327876	0.20290308	0.18952847	0.07437817	0.016309043	0.11005945	0.009660212	0.39242876
11071	0.005712182	0.22939746	0.21235396	0.08549825	0.019797593	0.11602365	0.010981987	0.32023492
11063	0.0042844606	0.22413218	0.18227601	0.07020634	0.0146796955	0.11213531	0.009352895	0.38293317
11151	0.0062103174	0.21994328	0.14956689	0.08841008	0.019301223	0.13730697	0.013760731	0.36550048
11143	0.0033584696	0.20136006	0.07180572	0.06236528	0.0115600275	0.0904905	0.0067390655	0.5523209
11149	0.0027074383	0.23781507	0.068049274	0.05597602	0.010894871	0.10508665	0.0063201394	0.5131505
11116	0.010966361	0.25698206	0.17882925	0.10259176	0.032875586	0.25682208	0.022374734	0.1385582
11108	0.0038531106	0.23414648	0.099003114	0.06660578	0.013849822	0.12258944	0.008591594	0.45136067
11100	0.0039739166	0.2685912	0.06805131	0.06684301	0.015595816	0.14921369	0.008950102	0.41878095
11140	0.003735366	0.24624778	0.07267532	0.074674346	0.012729339	0.12996234	0.009073956	0.4509016
11132	0.0039288052	0.20509048	0.12636137	0.07067872	0.012957856	0.123862155	0.008770785	0.44834986
11077	0.005095883	0.3605655	0.07078972	0.06748842	0.02268804	0.22372045	0.012501796	0.23715019
11069	0.0062817726	0.28566992	0.09879935	0.07670515	0.025001911	0.18448448	0.014142904	0.3089145
11061	0.0028927673	0.2700133	0.042908624	0.05383266	0.01262181	0.12730087	0.0067559737	0.48367402
11068	0.007778781	0.31255433	0.08150805	0.083357066	0.023905031	0.30767027	0.0148285115	0.16839798
10997	0.006657707	0.32463044	0.07795327	0.080230765	0.024287766	0.306703	0.015752332	0.16378467
10965	0.0045567653	0.23539484	0.13589843	0.072855525	0.016313551	0.124368496	0.0095412405	0.40107116
10996	0.0028867864	0.23840678	0.04332823	0.054356024	0.011679272	0.100712426	0.0058973203	0.54273313
11084	0.002706339	0.22898959	0.04788908	0.06320373	0.009198756	0.12305375	0.005911579	0.5190472
10988	0.0029100433	0.21125855	0.08924433	0.06075628	0.010441512	0.116345204	0.0060708136	0.50297326
11053	0.005292218	0.19550027	0.20083374	0.07004824	0.01893873	0.1443209	0.012336914	0.35272896
11148	0.003040667	0.27308986	0.053261813	0.057073284	0.01326141	0.09606036	0.007050276	0.49716234
14673	0.009626088	0.3795755	0.19094002	0.12857038	0.04542287	0.13934727	0.022165844	0.08435204
14665	0.0093851825	0.34842086	0.20516437	0.1222606	0.040797915	0.16500752	0.019849395	0.08911413
14585	0.010848175	0.31563666	0.2716579	0.124155134	0.036432352	0.15402465	0.028849088	0.05839601
14577	0.008610205	0.3588965	0.20406061	0.123883784	0.034823626	0.17012475	0.019369183	0.080231346
14545	0.010534317	0.25049868	0.30021465	0.18018274	0.042072456	0.14844167	0.021572145	0.046483338
14450	0.008350973	0.34383968	0.2532087	0.113765426	0.039354596	0.1397215	0.01692217	0.08483698
14579	0.008713721	0.29257223	0.28657326	0.14790659	0.03739883	0.158113	0.019071719	0.049650695
14513	0.009983939	0.30988684	0.2611196	0.12737294	0.04065928	0.1596404	0.021130642	0.070206374
14505	0.009954483	0.30795124	0.32805696	0.11102273	0.034720965	0.12515861	0.018195031	0.064939976
14497	0.0067506186	0.40231863	0.229653	0.095581144	0.030243123	0.15208678	0.01748995	0.065876715
14489	0.0070903194	0.36739936	0.15584613	0.14673918	0.036867503	0.18568821	0.018360082	0.082009204
14481	0.009802945	0.329685	0.28760085	0.10849622	0.042579252	0.12357247	0.012142014	0.08612126
14363	0.007124676	0.3936862	0.18588728	0.1160928	0.03937662	0.16212511	0.014646716	0.08106054
14355	0.006671775	0.40244904	0.21330293	0.08955974	0.033284277	0.14457123	0.013431646	0.09672936
14442	0.007859214	0.37753654	0.22923522	0.10273913	0.039377104	0.12500048	0.011261693	0.10699058
14410	0.0068078786	0.39917704	0.18318743	0.10774698	0.041531965	0.1170998	0.01181892	0.13263
